Cuite;Borrachera;Il est rentré du bar hier soir avec une bonne cuite;07/01/2022;6;2,1;42;10;lecture5;name;-
De Costume;Habitual;En Orient, il est de costume de marchander ses achats;01/01/2022;6;1,8;27;10;lecture9;adverb;-
Depuis;Desde;J'apprends le français depuis un an;25/12/2021;6;2,1;42;10;lecture5;adverb;-
Deviner, Deviné;Adivinar;J'ai deviné son âge en regardant ses yeux;25/12/2021;6;2,1;42;10;lecture5;verb;-
Devoirs;Deures;Est-ce qu'il y a des devoirs aujourd'hui?;23/12/2021;6;2,1;42;10;mine;name;-
Disparaître, Disparu;Desaparéixer;Le sous-marin a disparu sous les eaux;25/12/2021;6;2,1;42;10;mine;verb;-
Disparition;Desaparició;La pollution des rivières entraîne la disparition de bon nombre d'espèces;11/12/2021;6;1,9;30;10;mine;name;-
Données;Dades;Je manque de données pour pouvoir te répondre;20/12/2021;6;1,9;30;10;lecture5;name;-
Douce;Dolça;Son pays natal, la douce kabyle, lui manque;23/12/2021;6;2,1;42;10;lecture4;adjective;-
Drapeau;Bandera;Le drapeau de la Suisse est un croix blanche sur un fond rouge;12/01/2022;6;2,1;42;10;lecture8;name;-
Décider de, Décidé de;Decidit d';J'ai décidé de m'inscrire au cours de gym;13/01/2022;6;2,1;42;10;lecture8;prep verb;-
Découper, Découpe;Retallar;Le sachet doit être découpe en suivant les pointillés;20/12/2021;6;1,9;30;10;mine;verb;-
Déménager, Déménagé;Mudarse;Nous avons déménagé 2 fois en 1 an;19/01/2022;7;1,9;48;10;lecture5;verb;-
Dépaysement;Desorientació;Une invitation à la détente et au dépaysement;07/12/2021;0;1,3;2;1;homework;name;-
Embaucher, Embauche;Contracta;Le patron embauche un apprenti;13/01/2022;6;2,1;42;10;lecture8;verb;-
Emmener, emmenait;portar;sur le bateau qui l'emmenait en France;20/12/2021;6;1,9;30;10;lecture4;verb;-
Emploi Du temps;Horari;L'emploi du temps de mon chef est très chargé ce mois-ci;28/12/2021;6;1,9;30;10;lecture6;name;-
En Revanche;En canvi;C'est cheval n'est rapide mais en revanche il est très endurant;10/12/2021;5;2;20;10;lecture9;adverb;-
En plus;A mes a mes;En plus de son travail, elle fait du bénévolat auprès de personnes âgées;03/02/2022;7;2;60;10;mine;adverb;-
Encourager, Encouragent;Animar;Les supporters encouragent les sportifs;20/12/2021;6;1,9;30;10;lecture6;verb;-
Endurant;Resistent;C'est cheval n'est pas rapide mais en revanche il est très endurant;08/12/2021;5;1,76;18;10;mine;adjective;-
Enfuir, enfuit;Fugir;Il s'enfuit devant l'incendie;10/12/2021;4;1,76;9;7;lecture4;verb;-
Engeuler comme du poisson pourri, Engeulé Comme Du Poisson Pourri;Echarle la bronca;Ma femme M'a Engeulé comme du poisson pourri tout ça parce que j'avais oublié de Sortir le linge;08/12/2021;3;1,5;5;5;lecture5;idiom;-
Ennuyeux;Aburrit;C'est un problème vraiment ennuyeux;01/01/2022;6;1,98;34;10;lecture6;adjective;-
Enquête;Investigació;Le ministère public avait donc clos l'enquête.;07/12/2021;0;1,3;2;1;mine;name;-
Enregistrer, Enregistré;Grabar;J'ai enregistré tes chansons sur mon disque dur;07/01/2022;6;2,1;42;10;lecture6;verb;-
Entrepreneur;Empresari;Un entrepreneur a beaucoup de responsabilités;01/01/2022;6;2;34;10;lecture8;name;-
Entrer par Effraction, Entrèrent par Effraction;Entraren per la força;Les voleurs entrèrent par effraction, il doit changer sa porte.;21/12/2021;6;1,8;25;10;mine;verb;-
Entretien;Entrevista;Elle demande un entretien à son supérieur;12/01/2022;6;2,1;42;10;lecture8;name;-
Entretien D'embauche;Entrevista de treball;L'entretien d'embauche chez ABC aura lieu mardi;13/01/2022;6;2,1;42;10;lecture8;name;-
Envisager de, Envisageons de;Planeigar d';Nous envisageons de déménager à la campagne;14/12/2021;5;1,8;16;10;lecture8;prep verb;-
Espérance de vie;Esperança de vida;L'espérance de vie augmente dans les pays développés;07/01/2022;6;2,1;42;10;lecture6;name;-
Essor;Auge;L'industrie du tourisme est en plein essor;25/12/2021;6;2,1;42;10;lecture5;name;-
Faire de la recherche, Fait de la recherche;Fer investigació;Le docteur fait de la recherche avec ses patients;23/12/2021;6;2,1;42;10;lecture4;idiom;-
Faire du Bénévolat, Fait du Bénévolat;Fer voluntariat;En plus de son travail, elle fait du bénévolat auprès de personnes âgées;19/01/2022;7;1,9;48;10;lecture4;verb;-
Faire référence à, Fait Référence à;Fer referencia a;L'article de journal fait référence à une étude scientifique;28/12/2021;6;1,9;30;10;lecture6;idiom;-
Fouiller, Fouillé;Rebuscar;La police a fouillé le bureau et n'a rien trouvé;08/12/2021;3;1,78;5;5;lecture5;verb;-
Frapper, Frappé;Pegar;Le boxeur a frappé son adversaire au visage;28/12/2021;6;1,9;30;10;lecture5;verb;-
Fratrie;Germans;L'adolescent de 15 ans, l'aîné d'une fratrie de quatre enfants, s'occupe de ses frères et sœurs comme un père;13/01/2022;6;2,1;42;10;lecture7;name;-
Fusée;Cohet;L'Homme a envoyé des fusées sur la Lune;25/12/2021;6;2,1;42;10;mine;name;-
Gai, Gaie;Alegre;Tu ne t'enuieras pas avec Julie, elle est une fille gaie;07/12/2021;3;1,78;5;5;lecture6;adjective;-
Gaieté;Alegría;C'est un enfant rayonnante de gaieté;07/01/2022;6;2,1;42;10;lecture6;name;-
Gant;Guants;Jules porte toujours des gants blancs;25/12/2021;6;2,1;42;10;mine;name;-
Grandir, Grandit;Criar;Ton enfant grandit vite;25/12/2021;6;2,1;42;10;lecture5;verb;-
Grever, Grevé;Limitar;Le pouvoir d'achat est grevé par les loyers;07/12/2021;0;1,3;2;1;mine;verb;-
Gène;Gen;Certains gènes sont dominants, d'autres rècessifs;25/12/2021;6;2,1;42;10;lecture5;name;-
Généalogique;Genealógic;J'aime faire mon arbre généalogique;25/12/2021;6;2,1;42;10;lecture5;adjective;-
Génération;Generació;Identifier de nouveaux ancêtres sur plusieurs générations;25/12/2021;6;2,1;42;10;lecture5;name;-
Gêner, Me gêne;Em molesta;Ça me gêne ? Au contraire, Je serais ravi de te rendre service;04/01/2022;6;1,9;30;10;mine;verb;-
Habituer, habitue;Acostumbrarse;Je m'habitue à ma nouvelle voiture;07/01/2022;6;2,1;42;10;lecture6;verb;-
Honte;Vergonya;Quelle honte ! J'ai l'air de quoi maintenant;07/12/2021;1;1,6;2;2;homework;name;-
Imprimantes;Impresores;Toutes les imprimantes permettent maintenant la numérisation des documents;19/01/2022;7;1,9;48;10;mine;name;-
Interdire, Interdisent;Prohibir;Même si mes parents m'interdisent d'aller à la fête, je m'en fiche, j'irai quand même;25/12/2021;6;2,1;42;10;mine;verb;-
Intérêt;Interés;Le maire agit dans l'intérêt de sa communauté;25/12/2021;6;2,1;42;10;lecture5;name;-
Isolé;Aillat;Ils vivent dans un village isolé dans la montagne;07/01/2022;6;2,1;42;10;lecture6;adjective;-
J'en ai ras le bol;Ja en tinc prou;j'en ai ras le bol d'entendre tout le monde se rejeter;07/12/2021;0;1,3;2;1;lecture8;idiom;-
Je N'en Peux Plus;No puc més;J'ai l'impression que tout ce qui est en moi explose, je n'en peux plus;09/12/2021;4;1,6;8;7;lecture8;idiom;-
Je m'en fiche;No m'importa;Même si mes parents m'interdisent d'aller à la fête, je m'en fiche, j'irai quand même;25/12/2021;6;2,1;42;10;lecture5;idiom;-
Je m'en fous;Se m'en fot;Même si mes vieux m'interdisent d'aller en boîte, je m'en fous, j'irai quand même;25/12/2021;6;2,1;42;10;lecture5;idiom;-
Jeune;Groc;Je me souviens de le jeune du soleil et du sable;07/12/2021;1;1,6;2;2;homework;adjective;-
Joue un rôle;Juga un rol;Il joue un rôle essentiel dans le cadre de réforme;07/01/2022;6;2,1;42;10;lecture6;idiom;-
Linge;Bugada;Chaque semaine, il faut laver et repasser le linge;25/12/2021;6;2,1;42;10;mine;name;-
Lointain;Llunyà;C'est un pays lointain;25/12/2021;6;2,1;42;10;lecture5;adjective;-
Lors;Durant;Lors de ce voyage, un temps libre est accordé chaque après-midi;12/01/2022;6;2,1;42;10;mine;adverb;-
Louer, Louerai;Llogar;Je voyagerai seule et je louerai une voiture;10/12/2021;5;2;20;10;lecture10;verb;-
Lumière;Llum;C'est la fête de la lumière chez les Tamouls;10/12/2021;5;2;20;10;lecture10;name;-
Lunettes;Ulleres;Avec ses lunettes, mon père n'a plus de problème pour lire;10/12/2021;5;2;20;10;lecture9;name;-
Maire;Alcalde;Le maire agit dans l'intérêt de sa communauté;20/12/2021;6;1,9;30;10;mine;name;-
Malheur;Desgracia;Si tu es dans le malheur, tu peux compter sur tes amis;07/01/2022;6;2,1;42;10;lecture6;name;-
Manquer, manque;Troba a faltar;Son pays natal, la douce kabyle, lui manque;23/12/2021;6;2,1;42;10;lecture4;verb;-
Marchander;Regateigar;En Orient, il est de costume de marchander ses achats;10/12/2021;5;2;20;10;lecture9;name;-
Masquer, Masque;Enmascarar;Ce palmier masque la piscine.;15/12/2021;6;2;34;10;mine;verb;-
Matière;Assignatura;Le grec est un matière de moins en moins enseignée;28/12/2021;6;1,9;30;10;lecture8;name;-
Maîtriser, Maîtrise;Domina;Il maîtrise bien le chinois;04/01/2022;6;1,9;30;10;lecture7;verb;-
Montée en Flèche;Pujada disparada;La consommation de produits chimiques industriels est montée en Flèche au cours des dernières décennies;09/12/2021;3;1,88;6;5;lecture7;idiom;-
Mouchoir;Mocador;J'ai un rhume, tu as un mouchoir ?;25/12/2021;6;2,1;42;10;mine;name;-
Moyen;Medio;Je vais trouver un moyen pour le faire venir;07/01/2022;6;2,1;42;10;lecture6;name;-
Métier;Profesió;Ce métier lui permet un bon niveau de vie;07/01/2022;6;2,1;42;10;mine;name;-
Nain de jardin;Nan de jardi;Mon fils a renversé mon nain de jardin en jouant;03/02/2022;7;2;60;10;mine;name;-
Naufrage;Naufragi;Après leur naufrage, ils durent leur survie aux baies sauvages;12/01/2022;6;2,1;42;10;mine;name;-
Niveau de vie;Nivel de vida;Ce métier lui permet un bon niveau de vie;08/12/2021;3;1,98;6;5;lecture6;name;-
Nostalgique;Nostalgica;Ma grand-mère est parfois nostalgique de son pays natal;23/12/2021;6;2,1;42;10;lecture4;adjective;-
Nougat;Turró;J'aime le nougat de chocolat;25/12/2021;6;2,1;42;10;lecture5;name;-
Noël;Nadal;Le 25 décembre les chrétiens fêtent Noël;25/12/2021;6;2,1;42;10;lecture5;name;-
Numérisation;Digitalització;Toutes les imprimantes permettent maintenant la numérisation des documents;25/12/2021;6;2,1;42;10;lecture5;name;-
Odieuse;odiosa;La marâtre de Cendrillon était odieuse avec elle.;12/12/2021;4;1,9;10;8;mine;adjective;-
Odorant, Odorantes;Fragant;Il y avait des variétés de fleurs très odorantes;07/12/2021;0;1,3;2;1;homework;adjective;-
Pacte civil de solidarité;parella de fet;le PACS, pacte civil de solidarité, enregistré par un juge, et qui constitue une sorte de substitut au mariage;17/12/2021;6;2,1;42;10;lecture3;name;-
Par contre;Per contra;Ces tomates sont chères, par contre elles sont excellentes;10/12/2021;5;2;20;10;lecture9;adverb;-
Parole;Lletra;Marie a prononcé des paroles apaisantes après leur dispute;25/12/2021;6;2,1;42;10;lecture5;name;-
Partager, Partagé;Compartir;J'ai partagé la plaquette de chocolat entre les enfants;04/01/2022;6;1,9;30;10;lecture6;verb;-
Patient;Pacient;Le docteur reçoit ses patients tous les après-midis;23/12/2021;6;2,1;42;10;lecture4;name;-
Pelle;Pala;Prends cette pelle et creuse;25/12/2021;6;2,1;42;10;lecture5;name;-
Penser à, Pense à;Pensar amb;Je pense à Julie depuis son départ;12/01/2022;6;2,1;42;10;lecture8;prep verb;-
Perdu, perdue;Perdut;Elle étiait perdue dans cette grand ville;23/12/2021;6;2,1;42;10;lecture4;adjective;-
Pire;Pitjor;Ses notes sont pires que les tiennes;25/12/2021;6;2,1;42;10;lecture5;adverb;-
Pisser;Pixar;Les femmes vont aux toilettes, les hommes vont pisser;07/12/2021;3;1,74;5;5;lecture8;verb;-
Pointillés;Línea de punts;Le sachet doit être découpe en suivant les pointillés;04/01/2022;6;1,9;30;10;lecture5;name;-
Pollution;Contaminació;La pollution des rivières entraîne la disparition de bon nombre d'espèces;25/12/2021;6;2,1;42;10;lecture5;name;-
Pouvoir D'achat;Poder adquisitiu;Le pouvoir d'achat est grevé par les loyers;28/12/2021;6;1,9;30;10;lecture5;name;-
Prendre soin de, prend soin de;cuidar de;Mon fils prend soin de ses jouets;13/01/2022;6;2,1;42;10;lecture7;idiom;-
Printemps;Primavera;Dans l'hémisphère nord le printemps s'étend de mars à juin;10/12/2021;5;2;20;10;lecture10;name;-
Profiter, profité;Aprofitar;J'ai profité du beau temps pour aller me promener;07/01/2022;6;2,1;42;10;lecture6;verb;-
Provenir;Provenir;De quels continents peuvent provenir mes ancêtres;20/12/2021;6;1,9;30;10;lecture5;verb;-
Pâte;Pasta;L'Italie est spécialiste des pâtes;25/12/2021;6;2,1;42;10;lecture5;name;-
Quitter, Quitté;Sortir;Il a quitté son travail à 17 heures.;13/01/2022;6;2,1;42;10;lecture8;verb;-
Raccourci;Drecera;Je connais un raccourci pour aller au centre-ville;20/12/2021;6;1,9;30;10;lecture5;name;-
Raconter, Racontait;Relatar;Le soir, ma grand-mère nous racontait des histoires de son enfance;08/12/2021;2;1,4;3;3;lecture4;verb;-
Ravi;Feliç;Ça me gêne ? Au contraire, Je serais ravi de te rendre service;04/01/2022;6;1,9;30;10;mine;adjective;-
Recevoir, Reçoit;Rebre;Le docteur reçoit ses patients tous les après-midis;23/12/2021;6;2,1;42;10;mine;verb;-
Renverser, renversé;Volcar;Mon fils a renversé mon nain de jardin en jouant;04/01/2022;6;1,9;30;10;lecture4;verb;-
Repas;Apat;Le souper est le repas du soir;25/12/2021;6;2,1;42;10;lecture5;name;-
Repasser;Planxar;Chaque semaine, il faut laver et repasser le linge;24/12/2021;6;1,98;34;10;mine;verb;-
Reprendre, Reprend;retake;L'école reprend la semaine prochaine.;16/12/2021;6;2,1;42;10;lecture1;verb;-
Revenir, Revenons;Tornem;Nous revenons toujours dans cet hôtel.;23/12/2021;6;1,8;25;10;mine;verb;movement
Revenus;Ingresos;Ses revenus annuels sont de cent mille euros;08/12/2021;3;1,98;6;5;lecture6;name;-
Reverrer, Reverrai;Tornar a veure;Je ne reverrai plus mon fils.;07/12/2021;0;1,3;2;1;homework;verb;-
Rivière;Riu;La pollution des rivières entraîne la disparition de bon nombre d'espèces;25/12/2021;6;2,1;42;10;mine;name;-
Rond;Redó;Il a fait des figures de fumée bien rondes;25/12/2021;6;2,1;42;10;lecture5;adjective;-
Ruisselant;Chorreando;Et là, en face de moi, ruisselant de sang...;07/12/2021;0;1,3;2;1;homework;adjective;-
Rédiger;Redactar;Ce laboratoire va analyser la saliver et rédiger un rapport;07/12/2021;0;1,3;2;1;mine;verb;-
Résultat;Resultat;Avec des résultats tu peux retrouver un ancêtre commun;25/12/2021;6;2,1;42;10;lecture5;name;-
Résumé;Resum;Le journaliste a fait le résumé des événements de la journée;23/12/2021;6;2,1;42;10;mine;name;-
Réussir, Réussi;Lograr;Je suis contente parce que j'ai bien réussi ma crème fouetté;28/12/2021;6;1,9;30;10;lecture6;verb;-
Réussite;Exit;Pour les asiatiques la réussite financière c'est qui prime;24/12/2021;6;2;34;10;lecture6;name;-
Sable;Sorra;Je me souviens de le jeune du soleil et du sable;07/12/2021;1;1,6;2;2;homework;name;-
Sachet;Funda;Le sachet doit être découpe en suivant les pointillés;25/12/2021;6;2,1;42;10;mine;name;-
Salaire;Salari;Toute travail mérite salaire;28/12/2021;6;1,9;30;10;lecture5;name;-
Santé;Salut;J'ai de la chance, je suis en bonne santé;07/01/2022;6;2,1;42;10;lecture6;name;-
Schéma;Esquema;Voici le schéma d'une pompe à eau;07/01/2022;6;2,1;42;10;lecture6;name;-
Se Débrouiller, Me Débrouille;Espavilarse;Je ne demande rien à personne, je me débrouille teut seul;28/12/2021;6;1,9;30;10;lecture8;verb;-
Se Rejeter, Se Rejette;Culparse;j'en ai ras le bol d'entendre tout le monde se rejette;14/12/2021;4;1,88;9;7;mine;verb;-
Se Souvenir;Recordar;Ils pensent qu'il est bénéfique de se souvenir des moments agréables;07/12/2021;1;1,5;2;2;homework;verb;-
Se retrouver, Nous Retrouvons;Trobar;Nous nous retrouvons au cinéma ce soir;03/02/2022;7;2;60;10;lecture4;verb;-
Se tenir, Se tiennent;Se mantenen;Les oiseaux se tiennent toujours à bonne distance du chat;07/12/2021;0;1,3;2;1;homework;verb;-
Senteur;Olor;Le marché dégageait des senteurs de fruit, formage et fleurs;25/12/2021;6;2,1;42;10;mine;name;-
Sondage;Sondeig;D'après le sondage, 23% est d'accord avec la nouvelle loi anti-tabac;07/01/2022;6;2,1;42;10;lecture6;name;-
Soudain;De repent;J'étais en train de dormir, soudain j'ai entendu un bruit;23/12/2021;6;2,1;42;10;lecture4;name;-
Sous-marin;Submarí;Le sous-marin a disparu sous les eaux;25/12/2021;6;2,1;42;10;mine;name;-
Soutien Social;Ajuda social;Cette famille souvent ne dispose pas des ressources ou du soutien social nécessaire;13/01/2022;6;2,1;42;10;lecture7;name;-
Supporter;Fan;Les supporters encouragent les sportifs;27/12/2021;5;2,08;25;10;mine;name;-
Surpeuplé;Sobrepoblat;Les prisons sont surpeuplées;01/01/2022;6;2,1;42;10;lecture5;adjective;-
Survie;Sobreviure;Après leur naufrage, ils durent leur survie aux baies sauvages;08/12/2021;3;1,78;5;5;lecture7;name;-
Survivre, Survécu;Sobreviure;Cette centenaire a survécu à son mari et même à ses enfants;04/01/2022;6;1,9;30;10;lecture5;verb;-
Séance;Sesió;La séance parlementaire finit très tard;13/01/2022;6;2,1;42;10;lecture8;name;-
Tableau;Pissarra;L'instructeur écrit la date sur le tableau de la classe;07/01/2022;6;2,1;42;10;lecture6;name;-
Tandis;Mentres;Le haut représente la meilleure vie tandis que le bas représente la pire;07/01/2022;6;2,1;42;10;lecture6;adverb;-
Taxe Foncière;Taxa a la propietat;Peut-on demander un délai aux impôts pour régler sa taxe foncière;11/12/2021;4;1,78;9;7;mine;name;-
Temps Libre;Temps lliure;Lors de ce voyage, un temps libre est accordé chaque après-midi;12/01/2022;6;2,1;42;10;lecture8;name;-
Tendance;Tendencia;Elle a toujours tendance à arriver en retard;25/12/2021;6;2,1;42;10;lecture5;name;-
Terrifié;Terrified;Elle était terrifié sur le bateau qui l'emmenait en France;28/12/2021;6;1,9;30;10;lecture4;adjective;-
Télécommande;Control remot;Il cherche toujours la télécommande de la porte du garage;23/12/2021;6;2,1;42;10;lecture4;name;-
Vice;Vici;Le jeu est une vice dangereux;25/12/2021;6;2,1;42;10;lecture5;name;-
Vénézuélien, Vénézuélienne;Veneçolà;Ma professeure d'espagnol est une Vénézuélienne;11/12/2021;6;1,9;30;10;lecture5;adjective;-
abattoir;matadero;Les animaux de boucherie sont tués à l'abattoir.;07/12/2021;0;1,3;2;1;homework;name;-
abîmer, abîme;estropear;Je veux bien te prêter mon livre, mais ne me l'abîme pas !;07/12/2021;3;1,6;5;5;lecture15;verb;-
accoucher d'un enfant;tenir un bébe;Les femmes enceintes qui souffrent d'affections gingivales sont plus suceptibles d'accoucher d'un enfant prématuré;03/02/2022;7;2;60;10;lecture3;name;-
accrocher, accroche;penjar;"	J'accroche les clés au porte-clés quand je rentre chez moi.";08/12/2021;2;1,5;3;3;mine;verb;-
adoucir;suiavitzar;Elle met de la crème sur sa peau pour l'adoucir.;31/01/2022;7;2;60;10;mine;verb;-
agréable;agradable;Ce spectacle est très agréable.;17/12/2021;6;2,1;42;10;lecture3;adjective;-
ainsi;així;Oublier ainsi des hamburgers, des hot dogs, des sucrerie-barres de Français;17/12/2021;6;2,1;42;10;mine;adverb;-
amitié;amistat;Ton amitié m'est précieuse.;12/12/2021;4;1,9;10;8;lecture12;name;-
amèner, amène;porta;Viens dîner et amène ton amie avec toi.;07/12/2021;1;1,4;2;2;homework;verb;-
anniversaire;brithday;Mon anniversaire est le 6 de mai;08/12/2021;6;2,1;42;10;lecture1;name;-
annuler, annulé;anulat;Le tribunal a finalement annulé le mariage.;12/12/2021;4;1,9;10;8;lecture12;verb;-
appartement;flat;L'appartement comprend trois chambres, un salon,...;13/01/2022;7;1,9;48;10;lecture1;name;-
apprentissage;aprenentatge;L'apprentissage est un processus long et complexe.;07/12/2021;3;1,8;5;5;lecture14;name;-
approcher, approche;acostarse;"	Approche, mon enfant, que je te voie.";10/12/2021;3;1,6;5;5;lecture13;-;-
articuler;articulate;Vous devez articuler vos questions de manière concise.;27/01/2022;8;1,9;59;10;lecture1;name;-
assiette;plat;Sors une assiette supplémentaire : tonton Gérard vient manger avec nous ce soir.;12/12/2021;4;1,9;10;8;homework;name;-
atelier;taller;Le forgeron nous a fait visiter son atelier.;07/12/2021;3;1,8;5;5;lecture15;name;-
atout;virtud;L'atout de ce vendeur, c'est son sourire.;08/12/2021;3;1,6;5;5;lecture13;name;-
attendre de, attendez vous de;espereu de;Et maintenant qu'attendez vous de lui ? Cette école militaire attend beaucoup de ses élèves.;07/12/2021;1;1,4;2;2;lecture15;verb;-
attirance;atracció;Bien qu'elle fût mariée, Florence ressentait pour cet inconnu une forte attirance.;07/12/2021;3;1,5;5;5;lecture12;name;-
aussi;tan;Je ne pensais pas qu'il était aussi grand !;15/12/2021;4;1,9;10;8;lecture14;adverb;-
autour;al voltant;c'est ce qu'il y a de mieux autour de soi;13/01/2022;7;1,9;48;10;lecture3;adverb;-
autrement;del contrari;"	Ils ont dû bien arriver, autrement ils nous auraient appelées.";08/12/2021;2;1,5;3;3;lecture14;adverb;-
avantage;avantatge;Le partage a été fait à son avantage.;12/12/2021;4;1,9;10;8;lecture12;name;-
